order_id,customer_id,order_date,status,payment_method,quantity,unit_price,discount
500001,1012,2026-07-01,returned,card,1,43.9,0.2
500002,1020,2026-07-01,placed,card,5,88.87,0.2
500003,1014,2026-07-01,placed,card,5,215.67,0
500004,1012,2026-07-01,delivered,card,4,241.68,0
500005,1038,2026-07-01,placed,transfer,1,164.53,0
500006,1021,2026-07-01,delivered,wallet,1,194.22,0.1
500007,1022,2026-07-01,shipped,card,2,95.77,0.2
500008,1037,2026-07-02,delivered,card,2,183.21,0
500009,1031,2026-07-02,delivered,wallet,6,82.57,0.1
500010,1032,2026-07-02,placed,transfer,5,167.75,0.1
500011,1013,2026-07-02,cancelled,wallet,1,94.94,0.15
500012,1012,2026-07-02,placed,transfer,5,64.59,0.05
500013,1034,2026-07-02,delivered,wallet,6,189.99,0.15
500014,1011,2026-07-02,shipped,wallet,4,139.37,0
500015,1028,2026-07-02,delivered,card,1,30.06,0.2
500016,1008,2026-07-02,shipped,transfer,6,57.69,0
500017,1036,2026-07-02,shipped,transfer,5,208.02,0.15
500018,1035,2026-07-03,shipped,wallet,3,97.57,0.15
500019,1034,2026-07-03,delivered,wallet,2,8.21,0
500020,1010,2026-07-03,delivered,card,3,122.34,0
500021,1010,2026-07-03,delivered,wallet,1,87.33,0.1
500022,1039,2026-07-03,shipped,wallet,3,38.74,0.2
500023,1017,2026-07-03,delivered,transfer,5,146.77,0.15
500024,1019,2026-07-04,delivered,transfer,1,121.32,0
500025,1024,2026-07-04,delivered,card,3,108.5,0
500026,1035,2026-07-04,shipped,transfer,2,203.05,0.2
500027,1005,2026-07-04,delivered,card,3,53.84,0
500028,1004,2026-07-04,delivered,card,4,21.61,0.05
500029,1040,2026-07-04,delivered,wallet,5,248.12,0.15
500030,1029,2026-07-04,placed,transfer,6,66.34,0
500031,1003,2026-07-04,delivered,card,4,38.29,0.1
500032,1005,2026-07-04,delivered,card,6,28.86,0.15
500033,1001,2026-07-05,delivered,card,3,163.36,0.1
500034,1034,2026-07-05,delivered,wallet,6,139.3,0
500035,1026,2026-07-05,shipped,card,2,243.42,0
500036,1036,2026-07-05,returned,card,1,222.99,0.05
500037,1039,2026-07-05,delivered,wallet,5,192.71,0.2
500038,1023,2026-07-05,cancelled,transfer,5,103.56,0.05
500039,1016,2026-07-05,returned,card,6,125.62,0.05
500040,1016,2026-07-05,delivered,wallet,5,24.25,0.2
500041,1002,2026-07-05,delivered,transfer,2,223.22,0.2
500042,1018,2026-07-05,shipped,card,2,79.26,0.1
500043,1029,2026-07-05,delivered,wallet,1,78.22,0
500044,1032,2026-07-05,shipped,card,4,89.5,0.05
500045,1030,2026-07-06,delivered,card,5,55.31,0.05
500046,1006,2026-07-06,shipped,transfer,5,10.94,0
500047,1024,2026-07-06,cancelled,transfer,6,10.57,0
500048,1005,2026-07-06,delivered,card,6,140.17,0.15
500049,1033,2026-07-06,delivered,card,2,233.85,0
500050,1021,2026-07-06,delivered,card,6,108.42,0
500051,1018,2026-07-06,delivered,card,6,135.0,0.05
500052,1015,2026-07-06,delivered,card,5,64.17,0.2
500053,1015,2026-07-06,placed,wallet,6,234.35,0.2
500054,1009,2026-07-06,placed,wallet,3,15.84,0
500055,1018,2026-07-06,delivered,transfer,3,232.19,0
500056,1009,2026-07-06,shipped,wallet,2,174.18,0.2
500057,1022,2026-07-07,delivered,transfer,1,241.97,0
500058,1015,2026-07-07,shipped,card,6,219.0,0.1
500059,1032,2026-07-07,delivered,card,1,29.68,0.15
500060,1010,2026-07-07,delivered,card,6,92.7,0
500061,1029,2026-07-07,delivered,card,3,140.48,0
500062,1020,2026-07-07,delivered,card,6,159.69,0.15
500063,1038,2026-07-07,delivered,card,3,228.47,0.2
500064,1003,2026-07-07,delivered,wallet,6,162.15,0
500065,1036,2026-07-07,cancelled,card,4,202.14,0
500066,1003,2026-07-07,delivered,wallet,3,44.44,0
500067,1008,2026-07-08,delivered,card,3,160.61,0.05
500068,1013,2026-07-08,delivered,card,4,233.58,0
500069,1040,2026-07-08,delivered,card,4,196.46,0.05
500070,1037,2026-07-08,placed,card,6,61.35,0.05
500071,1008,2026-07-08,shipped,card,3,174.77,0.2
500072,1017,2026-07-08,delivered,card,1,50.85,0
500073,1017,2026-07-08,shipped,transfer,3,116.08,0
500074,1007,2026-07-08,delivered,wallet,3,112.55,0.1
500075,1003,2026-07-08,cancelled,card,2,219.23,0
500076,1026,2026-07-08,delivered,card,3,208.6,0
500077,1001,2026-07-08,delivered,transfer,4,105.75,0
